event_id_cnty,event_date,year,time_precision,disorder_type,event_type,sub_event_type,actor1,assoc_actor_1,inter1,interaction,civilian_targeting,iso,region,country,admin1,admin2,admin3,location,latitude,longitude,geo_precision,source,source_scale,notes,fatalities,tags,timestamp
KEN16601,"13 December 2024",2024,1,Demonstrations,Protests,"Peaceful protest","Protesters (Kenya)",,Protesters,"Protesters only",,404,"Eastern Africa",Kenya,Kisii,"Nyaribari Chache",Ibeno,Nyamache,-0.7833,34.8333,1,"K24; Kenya Broadcasting Corporation; Star (Kenya)",National,"On 13 December 2024, residents protested in Nyamache (Nyaribari Chache, Kisii) against delayed repair of a collapsed bridge. The group demanded their area member of parliament to address the matter.",0,"crowd size=no report",1734465869
KEN16602,"13 December 2024",2024,2,Demonstrations,Protests,"Peaceful protest","Protesters (Kenya)","Labor Group (Kenya); Teachers (Kenya)",Protesters,"Protesters only",,404,"Eastern Africa",Kenya,"West Pokot","West Pokot",Kapenguria,Kapenguria,1.2333,35.1167,1,"Daily Nation (Kenya)",National,"Around 13 December 2024 (as reported), P1 grade teachers gathered while carrying placards in Kapenguria (West Pokot, West Pokot) in protest against discrimination in hiring and job overstay. The group demanded the government through Teachers Service Commission (TSC) to address their grievances.",0,"crowd size=no report",1734465870
KEN16592,"12 December 2024",2024,2,Demonstrations,Protests,"Peaceful protest","Protesters (Kenya)","Labor Group (Kenya)",Protesters,"Protesters only",,404,"Eastern Africa",Kenya,Bungoma,Kanduyi,"Bukembe East",Nzoia,0.5689,34.655,1,"Citizen (Kenya)",National,"Around 12 December 2024 (as reported), workers protested at the Nzoia sugar company (Kanduyi, Bungoma) against the company's move to sack their union's secretary general. The group demanded that the union official be reinstated and for the dissolution of the board of directors.",0,"crowd size=no report",1734465869
KEN16593,"12 December 2024",2024,1,Demonstrations,Protests,"Peaceful protest","Protesters (Kenya)","Students (Kenya)",Protesters,"Protesters only",,404,"Eastern Africa",Kenya,Kiambu,Kabete,Kabete,Kabete,-1.2333,36.7167,1,"Citizen (Kenya); Kenyans.co",National,"On 12 December 2024, over 200 - 400 fourth-year students protested at the of the university of Nairobi lower Kabete campus (Kabete, Kiambu) against the exclusion of their names from the graduation list. The group demanded that the dean address the matter.",0,"crowd size=over 200-400",1734465869
KEN16594,"12 December 2024",2024,1,Demonstrations,Protests,"Peaceful protest","Protesters (Kenya)",,Protesters,"Protesters only",,404,"Eastern Africa",Kenya,Kiambu,"Thika Town","Thika Township",Thika,-1.05,37.0833,1,"Opera News (Kenya)",National,"On 12 December 2024, patrons sang solidarity song and chanted anti-government slogans at club VSpot in Thika (Thika Town, Kiambu) in protest against unfulfilled government promises. The group demanded for change.",0,"crowd size=no report",1734465869
KEN16596,"12 December 2024",2024,1,Demonstrations,Protests,"Peaceful protest","Protesters (Kenya)","Taxi Drivers (Kenya)",Protesters,"Protesters only",,404,"Eastern Africa",Kenya,Machakos,"Athi River","Athi River","Athi River",-1.45,36.9833,1,"Star (Kenya)",National,"On 12 December 2024, tens of residents, mainly boda boda taxi operators, blocked the Total-Sabaki road with stones in Athi River (Athi River, Machakos) in protest against the poor state of the road. The group demanded a that private investor selling murrum from the quarries to fix the road.",0,"crowd size=tens",1734465869
KEN16597,"12 December 2024",2024,2,Demonstrations,Protests,"Peaceful protest","Protesters (Kenya)","Lawyers (Kenya)",Protesters,"Protesters only",,404,"Eastern Africa",Kenya,Meru,"Igembe South",Maua,Maua,0.2321,37.9405,1,"Daily Nation (Kenya); K24",National,"Around 12 December 2024 (as reported), lawyers protested at the Maua law courts (Igembe South, Meru) in protest against shortage of judges and magistrates. The group demanded the chief justice to address the matter.",0,"crowd size=no report",1734465869
KEN16598,"12 December 2024",2024,1,"Political violence",Riots,"Mob violence","Rioters (Kenya)",,Rioters,Rioters-Rioters,,404,"Eastern Africa",Kenya,Migori,Rongo,"Central Kamagambo",Rongo,-0.7556,34.5995,1,"Citizen (Kenya); Daily Nation (Kenya); NTV (Kenya)","New media-National","On 12 December 2024, two political factions, one allied to the local Member of Parliament (MP) (ODM, Azimio), clashed with each other, with some engaged in a fist fight during the Jamhuri (independence) day celebrations in Rongo (Rongo, Migori), over the MP's performance. Calm was restored after police fired shots in the air. Extent of injuries unknown/not reported.",0,"crowd size=no report",1734465869
KEN16598,"12 December 2024",2024,1,"Political violence",Riots,"Mob violence","Rioters (Kenya)","Azimio la Umoja One Kenya Coalition Party; ODM: Orange Democratic Movement",Rioters,Rioters-Rioters,,404,"Eastern Africa",Kenya,Migori,Rongo,"Central Kamagambo",Rongo,-0.7556,34.5995,1,"Citizen (Kenya); Daily Nation (Kenya); NTV (Kenya)","New media-National","On 12 December 2024, two political factions, one allied to the local Member of Parliament (MP) (ODM, Azimio), clashed with each other, with some engaged in a fist fight during the Jamhuri (independence) day celebrations in Rongo (Rongo, Migori), over the MP's performance. Calm was restored after police fired shots in the air. Extent of injuries unknown/not reported.",0,"crowd size=no report",1734465869
KEN16599,"12 December 2024",2024,1,Demonstrations,Protests,"Peaceful protest","Protesters (Kenya)",,Protesters,"Protesters only",,404,"Eastern Africa",Kenya,Nyandarua,Kinangop,Gathara,Engineer,-0.6,36.5833,1,"Citizen (Kenya); NTV (Kenya)","New media-National","On 12 December 2024, residents disrupted the Jamhuri (independence) day celebrations by chanting anti-president slogans during the county commissioner's speech at the Engineer's ground (Kinangop, Nyandarua) in protest against unfulfilled government promises. The commissioner proceeded with his speech as planned.",0,"crowd size=no report",1734465869
